id,level,noType,tools,blockid,stoneid,stone_type_per,stone_per,goal,map,TypeA,roundA,roundB,roundC,roundD,roundK_C,roundK_D,refresh_rounds
206,6,"[12,13,4,5,33,34,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,160]","[0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,10,14,21,2,2,10000
207,7,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,1001,0,0,0,0,1001,0,0,1001,0,0,0,0,0,1001,1001,0,0,0,0,0,1001,0,0,1001,0,0,0,0,1001,0,0,1001,0,0,0,0,0,0,0,0,0,0]","[2,3,6,11,7,8,9,10,15,16,19,20,23,14]",3,4,8,20,2,2,10000
208,8,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,10]","[0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0]","[2,3,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,20,2,2,10000
209,9,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,10]","[0,0,0,0,0,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,1001,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,10000
210,10,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,18]","[3,3,0,0,0,0,3,3,0,0,1001,0,0,1001,0,0,0,0,0,1001,1001,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,1001,1001,0,0,0,0,0,1001,0,0,1001,0,0]","[2,3,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,20,2,2,10000
211,11,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,10,1002,10]","[0,0,0,0,0,0,0,0,1001,0,1001,0,0,1002,0,1002,0,1001,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,1001,0,1002,0,1002,0,0,1001,0,1001,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,20,2,2,10000
212,12,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,19]","[1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,20,2,2,10000
213,13,"[12,13,4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,230]","[0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,10000
214,14,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,12,1002,10]","[1001,0,0,0,0,0,0,1001,0,1001,0,0,1002,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,1001,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1001,0,0,1002,0,1001,1002]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,10000
215,15,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,18]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1002,1002,0,1002,0,0,0,0,1002,0,1002,1002,0,0,0,0,1002,1002]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,10000
216,16,"[12,13,4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,200]","[0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,3,3,0,3,3,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,10000
217,17,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,9,1002,8]","[0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,1001,0,0,1001,3,3,0,3,0,0,0,0,3,0,0,0,0,1002,1002,0,0,0,0,3,0,0,0,0,3,0,3,3,1001,0,0,1001,3,3,0,3,0,0,0,0,3,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,10000
218,18,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,16]","[0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,10000
219,19,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,21]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,1002,1002,0,0,0,1002,0,0,1002,0,0,0,0,1002,3,3,1002,0,0,0,0,1002,0,0,1002,0,0,0,1002,1002,0,0,1002,1002,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,4,8,20,2,2,10000
220,20,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,8,1002,8,1003,8]","[3,0,0,0,0,0,0,3,0,3,0,1002,1002,0,3,0,0,0,3,1002,1002,3,0,0,0,0,0,0,0,0,0,0,1001,0,1001,1003,1003,1001,0,1001,0,0,0,0,0,0,0,0,0,0,3,1002,1002,3,0,0,0,3,0,0,0,0,3,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,10000
221,21,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,13]","[0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
222,22,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,14]","[1001,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,1001,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
223,23,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,14,1002,8]","[0,0,1001,0,0,0,0,1002,0,1001,1001,1001,0,0,0,0,0,0,1001,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,1001,0,0,0,1002,0,0,1001,1001,1001,1002,0,0,0,0,0,1001,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
224,24,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,13]","[1001,0,0,0,0,0,0,1001,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,1001,0,0,0,0,0,0,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
225,25,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,220]","[0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
226,26,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,220]","[0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
227,27,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,160]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
228,28,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,210]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
229,29,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,280]","[0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,3,0,3,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
230,30,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,300]","[3,3,0,0,0,0,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,3,0,0,0,0,3,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
231,31,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,25]","[0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,5,9,19,2,2,10000
232,32,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,17]","[0,0,0,0,0,0,0,0,0,0,0,0,1001,0,1001,0,0,1001,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,1001,0,0,1001,0,1001,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,6,10,19,2,2,10000
233,33,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,14]","[0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1002,1002,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,1002,1002,0,0,1002,0,1002,1002,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,6,10,19,2,2,10000
234,34,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1003,1002,1001]","[4,0,0]","[5,1,5,7]","[1003,24]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,1003,0,0,0,0,1003,1003,0,1003,0,0,0,0,1003,0,1003,1003,0,1003,1003,0,1003,1003,0,0,1003,0,0,1003,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,6,10,19,2,2,10000
235,35,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,19]","[0,0,0,0,0,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,6,10,19,2,2,10000
236,36,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,20]","[0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1001,1001,3,3,1001,1001,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,1001,1001,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,4,8,19,2,2,10000
237,37,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,290]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,7,11,19,2,2,10000
238,38,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,270]","[0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,6,10,19,2,2,10000
239,39,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,160]","[0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,6,10,19,2,2,10000
240,40,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,260]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,5,9,19,2,2,10000
241,41,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,160]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,5,9,19,2,2,10000
242,42,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,340]","[0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,3,3,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,5,9,19,2,2,10000
243,43,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,5,1002,5,1003,6]","[0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,1002,0,1001,0,0,0,0,1002,0,0,0,1001,0,0,1002,0,0,0,0,0,1001,1002,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,1003,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,6,10,19,2,2,10000
244,44,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,22]","[0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1002,1002,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,1002,1002,0,0,1002,0,1002,1002,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,5,9,19,2,2,10000
245,45,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,16]","[0,1001,0,0,0,0,1001,0,0,0,1001,0,0,1001,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,6,10,19,2,2,10000
246,46,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,11,1002,12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,1002,1001,1002,0,0,1002,1001,1002,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,6,10,19,2,2,10000
247,47,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,15]","[0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,5,9,19,2,2,10000
248,48,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1003,1002,1001]","[4,0,0]","[5,1,5,7]","[1003,19]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,1003,0,1003,0,1003,1003,0,1003,0,1003,0,1003,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,7,11,19,2,2,10000
249,49,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,320]","[3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",2,7,11,19,2,2,10000
250,50,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,350]","[0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",5,9,13,19,2,2,10000
251,51,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,180]","[0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
252,52,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,260]","[0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
253,53,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,180]","[0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
254,54,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,370]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,10000
255,55,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,8,1002,8]","[0,0,0,0,0,0,0,0,1002,0,0,3,0,0,0,1002,0,0,0,1001,0,0,0,0,0,1001,3,3,3,1001,1001,0,0,0,0,1001,0,0,0,0,0,0,0,3,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
256,56,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,9,1002,9]","[0,0,0,0,0,0,1002,0,0,3,1001,0,0,0,1002,0,0,1001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1001,0,0,0,1002,0,0,1001,3,0,0,0,1002,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
257,57,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,12]","[0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
258,58,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,4,1002,4,1003,4]","[0,0,0,0,0,0,0,0,3,0,0,1001,1001,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,1002,0,0,1003,1003,1003,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,10000
259,59,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1003,1002]","[2,4,0]","[5,1,5,7]","[1001,6,1003,7]","[0,0,0,3,3,0,0,0,1003,0,0,3,3,0,0,1003,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,1001,1001,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
260,60,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,9,1002,9,1003,9]","[3,0,0,1003,1003,0,0,3,0,1001,0,0,0,0,1001,0,0,0,1001,0,0,1001,0,0,0,3,0,1002,1002,0,3,0,3,3,0,0,0,0,3,3,0,3,1001,0,0,1001,3,0,0,1001,0,0,0,0,1001,0,3,0,0,1003,1003,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,10000
