id,level,floor,cells1,cells2,cells3,cells4,cells5,
427,43,10,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1017,-1,1010,-1,1017,-1,-1,-1,-1]","[-1,1010,1010,1030,1015,-1,1013,1010,1015,1032,-1,-1]","[-1,1030,1059,1017,1006,1059,1013,1002,1002,1059,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
428,43,11,"[-1,-1,-1,-1,-1,1020,1020,-1,-1,-1,-1,-1]","[-1,-1,-1,1036,-1,1032,1002,-1,1042,-1,-1,-1]","[-1,1027,-1,1006,-1,1029,1059,-1,1002,-1,1001,-1]","[-1,1020,1010,1020,1013,1027,1002,1009,1008,1010,1002,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
429,43,12,"[-1,-1,-1,-1,1017,1010,1020,-1,-1,-1,-1,-1]","[1002,1013,1002,1008,1009,-1,1017,1002,1012,1019,1006,-1]","[1030,-1,1059,-1,1015,-1,1059,-1,1015,-1,1017,-1]","[1036,-1,1008,-1,1001,-1,1020,-1,1001,-1,1042,-1]","[1036,1018,1009,1020,1019,1036,1020,1008,1032,1001,1042,-1]",
430,44,1,"[-1,-1,-1,-1,1042,-1,-1,1006,-1,-1,-1,-1]","[-1,-1,-1,1001,-1,1013,1009,-1,1029,-1,-1,-1]","[-1,-1,-1,-1,1012,-1,-1,1036,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
431,44,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,1029,1009,-1,-1,-1,-1,-1]","[-1,-1,-1,1006,1013,-1,1009,1002,-1,-1,-1,-1]","[-1,-1,-1,-1,1027,1013,1027,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
432,44,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1027,1015,-1,-1,1042,1020,-1,-1,-1]","[-1,-1,-1,1027,1001,-1,-1,1006,1029,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
433,44,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1009,1002,-1,1032,1008,-1,-1,-1,-1]","[-1,-1,-1,1001,1027,-1,1001,1032,-1,-1,-1,-1]","[-1,-1,-1,1020,1030,-1,1032,1032,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
434,44,5,"[-1,-1,-1,1017,1001,1029,1011,1017,1032,-1,-1,-1]","[-1,-1,-1,1001,1013,-1,-1,1019,1036,-1,-1,-1]","[-1,-1,-1,1029,1013,-1,-1,1010,1017,-1,-1,-1]","[-1,-1,-1,1008,-1,-1,-1,-1,1029,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
435,44,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1001,1010,-1,1019,1029,-1,-1,-1,-1]","[-1,-1,-1,1008,1020,-1,1002,1006,-1,-1,-1,-1]","[-1,-1,-1,1027,1013,-1,1006,1008,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
436,44,7,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1059,-1,1027,1015,-1,1020,-1,-1,-1]","[-1,-1,-1,1001,-1,1018,1042,-1,1012,-1,-1,-1]","[-1,-1,-1,1020,-1,1036,1010,-1,1042,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
437,44,8,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1017,1019,1042,1017,1008,1006,1020,-1,-1,-1]","[-1,-1,1029,-1,1029,-1,1032,-1,1006,-1,-1,-1]","[-1,-1,1019,1008,1029,1015,1017,1020,1030,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
438,44,9,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1006,1042,1059,1029,1027,1006,1032,1001,-1,-1]","[-1,-1,1032,1030,1012,1020,1001,1018,1042,1015,-1,-1]","[-1,-1,1027,-1,1042,1020,1013,1015,-1,1017,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
439,44,10,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1059,1009,1002,1018,1030,1020,1013,-1,-1,-1]","[-1,1008,1032,1042,-1,-1,-1,1032,1059,1009,-1,-1]","[-1,1036,1042,1009,1019,1001,1027,1010,1036,1013,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
440,44,11,"[-1,-1,1017,-1,1042,1032,1027,1029,-1,1001,-1,-1]","[-1,-1,1012,1010,-1,1010,1042,-1,1029,1032,-1,-1]","[-1,1019,-1,1042,-1,1027,1027,-1,1010,-1,1020,-1]","[-1,1009,1012,1010,1017,1019,1002,1017,1019,1020,1010,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
441,44,12,"[-1,1017,1009,1015,1010,1029,1015,1002,1027,1001,-1,-1]","[-1,1019,-1,1042,1011,-1,1027,1010,-1,1027,-1,-1]","[-1,1059,1042,1027,1020,1015,1027,1010,1012,1017,-1,-1]","[-1,1015,-1,1059,1020,-1,1013,1008,-1,1036,-1,-1]","[-1,1030,1013,1020,1001,1013,1030,1008,1011,1029,-1,-1]",
442,45,1,"[-1,-1,-1,-1,1042,1018,1006,1059,-1,-1,-1,-1]","[-1,-1,-1,-1,1018,1013,1015,1018,-1,-1,-1,-1]","[-1,-1,-1,-1,1006,1015,1006,1042,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
443,45,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,1059,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1018,-1,1059,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
444,45,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1018,1030,-1,-1,1018,1012,-1,-1,-1]","[-1,-1,-1,1036,1042,-1,-1,1015,1018,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
445,45,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1019,-1,-1,-1,1013,-1,-1,-1,-1]","[-1,-1,-1,1015,-1,-1,-1,1019,-1,-1,-1,-1]","[-1,-1,-1,1027,-1,-1,-1,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
446,45,5,"[-1,-1,-1,1009,1001,1002,1027,1002,1020,-1,-1,-1]","[-1,-1,-1,1036,1001,-1,-1,1002,1027,-1,-1,-1]","[-1,-1,-1,1036,1009,1018,1030,1012,1032,-1,-1,-1]","[-1,-1,-1,1020,-1,-1,-1,-1,1018,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
447,45,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1029,1032,1030,-1,1030,1012,1036,-1,-1,-1]","[-1,-1,1001,1012,1019,-1,1029,1018,1027,-1,-1,-1]","[-1,-1,1001,1012,1029,-1,1020,1059,1010,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
448,45,7,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1027,-1,1001,1018,-1,1029,-1,-1,-1]","[-1,-1,-1,1036,1015,1015,1007,1042,1032,-1,-1,-1]","[-1,-1,-1,1042,-1,1027,1059,-1,1001,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
449,45,8,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1006,1006,1013,1019,1001,1059,1030,-1,-1,-1]","[-1,-1,1036,-1,1011,-1,1027,-1,1027,-1,-1,-1]","[-1,-1,1029,1013,1001,1029,1059,1059,1013,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
450,45,9,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1007,1027,-1,1001,1030,-1,1012,1001,-1,-1]","[-1,-1,1009,1011,-1,1013,1012,-1,1032,1012,-1,-1]","[-1,-1,1059,-1,-1,1019,1030,-1,-1,1020,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
451,45,10,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1018,1027,1036,1009,1009,1010,1013,-1,-1,-1]","[-1,1017,1007,1011,-1,-1,-1,1009,1032,1007,-1,-1]","[-1,1036,1042,1030,1012,1029,1010,1010,1019,1027,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
452,45,11,"[-1,1017,1059,1030,1002,1019,1012,1018,1018,1042,1059,-1]","[-1,1027,-1,1015,-1,1013,1012,-1,1010,-1,1010,-1]","[-1,1012,-1,1059,-1,1019,1012,-1,1006,-1,1010,-1]","[-1,1010,1042,1006,1027,1002,1008,1013,1001,1013,1020,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
453,45,12,"[-1,1012,1030,1015,1018,1029,1007,1006,1029,1059,-1,-1]","[1036,1001,-1,-1,-1,1042,-1,-1,-1,1015,1007,-1]","[1001,1002,1019,1001,1012,1012,1029,1029,1020,1017,1012,-1]","[1006,1030,-1,-1,-1,1029,-1,-1,-1,1010,1008,-1]","[-1,1030,1059,1013,1032,1008,1059,1027,1027,1001,-1,-1]",
454,45,13,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1007,1005,1011,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1005,1005,1003,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1002,1015,1005,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
455,45,14,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1010,1003,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1019,1005,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
456,45,15,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1003,1012,1010,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1005,1007,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1013,1010,1003,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
457,45,16,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,1019,1007,1003,-1,-1,-1,-1]","[-1,-1,-1,-1,1004,1003,1005,1007,-1,-1,-1,-1]","[-1,-1,-1,-1,1009,1020,1004,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,1004,1005,1007,1004,-1,-1,-1,-1]",
458,45,17,"[-1,-1,-1,1005,1006,1011,1003,1018,1001,1001,-1,-1]","[-1,-1,-1,1006,1014,1004,1020,1017,1007,1007,-1,-1]","[-1,-1,-1,1005,1017,1003,1004,1001,1005,1015,-1,-1]","[-1,-1,-1,1003,1002,1014,1002,1004,1010,1005,-1,-1]","[-1,-1,-1,1006,1002,1005,1005,1003,1001,1018,-1,-1]",
459,45,18,"[-1,-1,-1,1012,1005,1007,1007,1002,1014,-1,-1,-1]","[-1,-1,-1,1012,1007,1002,1010,1020,1010,-1,-1,-1]","[-1,-1,-1,1002,1012,1004,1005,1012,1007,-1,-1,-1]","[-1,-1,-1,1005,1014,1001,1008,1018,1008,-1,-1,-1]","[-1,-1,-1,1003,1011,1005,1010,1006,1007,-1,-1,-1]",
460,45,19,"[-1,-1,-1,1007,1003,1014,1012,1007,1007,1009,-1,-1]","[-1,-1,-1,1013,1003,1010,1005,1017,1008,1004,-1,-1]","[-1,-1,-1,1006,1013,1005,1006,1001,1002,1002,-1,-1]","[-1,-1,-1,1007,1016,1007,1016,1014,1019,1005,-1,-1]","[-1,-1,-1,1007,1003,1015,1003,1009,1016,1010,-1,-1]",
461,45,20,"[-1,-1,-1,-1,-1,-1,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1011,-1,-1,-1,1002,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1002,-1,-1,-1,-1,-1]",
462,45,21,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1002,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1005,1005,1003,1013,-1,-1,-1,-1]","[-1,-1,-1,-1,1009,-1,-1,1013,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1012,1003,-1,-1,-1,-1,-1]",
463,45,22,"[-1,-1,-1,-1,-1,-1,1007,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1002,1012,1013,-1,-1,-1,-1]","[-1,-1,-1,-1,1007,1012,-1,1006,1005,-1,-1,-1]","[-1,-1,-1,-1,-1,1007,1010,1010,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1009,-1,-1,-1,-1,-1]",
464,45,23,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1012,1007,1003,1005,1010,1005,-1,-1,-1]","[-1,-1,-1,1005,1006,1007,1004,1005,1013,-1,-1,-1]","[-1,-1,-1,-1,1011,1013,1011,1006,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,1001,1012,1010,-1,-1,-1,-1]",
465,45,24,"[-1,-1,-1,-1,1008,-1,-1,-1,1009,-1,-1,-1]","[-1,-1,-1,1012,-1,1004,1005,1013,-1,1008,-1,-1]","[-1,-1,-1,1002,-1,1010,-1,1013,-1,1008,-1,-1]","[-1,-1,-1,1013,-1,1007,1012,1001,-1,1005,-1,-1]","[-1,-1,-1,-1,1011,-1,-1,-1,1005,-1,-1,-1]",
466,45,25,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1009,1012,-1,-1,1008,1008,-1,-1,-1]","[-1,-1,-1,-1,-1,1004,1009,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1008,1004,-1,-1,-1,-1,-1]","[-1,-1,-1,1010,1013,-1,-1,1005,1005,-1,-1,-1]",
467,45,26,"[-1,-1,-1,-1,-1,1011,-1,1003,-1,-1,-1,-1]","[-1,-1,-1,-1,1009,-1,1002,-1,1012,-1,-1,-1]","[-1,-1,-1,-1,-1,1006,-1,1003,-1,-1,-1,-1]","[-1,-1,-1,-1,1008,-1,1006,-1,1008,-1,-1,-1]","[-1,-1,-1,-1,-1,1007,-1,1012,-1,-1,-1,-1]",
468,45,27,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1004,1008,-1,-1,1002,1008,-1,-1,-1]","[-1,-1,-1,1012,-1,1008,1011,1005,1007,-1,-1,-1]","[-1,-1,-1,1005,-1,1011,1008,-1,1012,-1,-1,-1]","[-1,-1,-1,1007,1003,-1,-1,1008,1008,-1,-1,-1]",
469,45,28,"[-1,-1,-1,-1,1011,1005,-1,1003,1012,-1,-1,-1]","[-1,-1,-1,1012,1003,-1,1004,-1,1010,1001,-1,-1]","[-1,-1,-1,1005,-1,-1,-1,-1,-1,1010,-1,-1]","[-1,-1,-1,1005,1010,-1,1008,-1,1006,1005,-1,-1]","[-1,-1,-1,-1,1012,1003,-1,1011,1012,-1,-1,-1]",
470,46,1,"[-1,-1,-1,-1,-1,1012,1029,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1019,1029,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1010,1015,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1006,1010,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
471,46,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,-1,1015,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1009,1030,1007,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1011,-1,1001,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
472,46,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,-1,1030,-1,-1,-1,-1]","[-1,-1,-1,-1,1006,1012,1001,1007,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,-1,-1,1018,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
473,46,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1029,-1,1012,-1,1011,-1,-1,-1,-1]","[-1,-1,-1,1013,-1,1007,-1,1015,-1,-1,-1,-1]","[-1,-1,-1,1012,-1,1019,-1,1030,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
474,46,5,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1002,1015,1032,1042,1002,1006,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1013,1029,1009,1020,1012,1001,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
475,46,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1042,1007,1010,1029,1009,1036,1042,-1,-1,-1]","[-1,-1,-1,1015,-1,1009,-1,1030,-1,-1,-1,-1]","[-1,-1,1015,1010,1042,1030,1029,1042,1036,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
476,46,7,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1001,-1,1019,1036,-1,1011,-1,-1,-1]","[-1,-1,-1,1036,1002,1002,1029,1019,1011,-1,-1,-1]","[-1,-1,-1,1015,-1,1030,1012,-1,1010,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
477,46,8,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1015,1015,1009,1007,1019,1013,1017,-1,-1,-1]","[-1,-1,1013,-1,1042,-1,1015,-1,1017,-1,-1,-1]","[-1,-1,1015,1013,1029,1012,1011,1013,1029,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
478,46,9,"[-1,-1,-1,1042,-1,1036,1001,-1,1020,-1,-1,-1]","[-1,-1,1012,1009,-1,1017,1001,-1,1006,1032,-1,-1]","[-1,-1,1012,1032,-1,1036,1019,-1,1042,1002,-1,-1]","[-1,-1,1010,-1,-1,1042,1011,-1,-1,1017,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
479,46,10,"[-1,-1,1020,1002,1042,1019,1029,1009,1010,-1,-1,-1]","[-1,1013,1001,1013,1015,1030,1019,1010,1032,1018,-1,-1]","[-1,1036,1002,1042,-1,-1,-1,1015,1030,1059,-1,-1]","[-1,1006,1010,1032,1015,1013,1007,1020,1013,1020,-1,-1]","[-1,-1,1007,1032,1015,1006,1013,1012,1007,-1,-1,-1]",
480,46,11,"[-1,1007,1042,1009,1019,1002,1059,1017,1032,1059,1013,-1]","[-1,1002,-1,1013,-1,1013,1015,-1,1036,-1,1007,-1]","[-1,1012,-1,1013,-1,1013,1036,-1,1030,-1,1036,-1]","[-1,1011,1011,1008,1018,1029,1007,1032,1015,1008,1018,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
481,46,12,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[1001,-1,-1,1042,-1,1008,-1,1017,-1,-1,1002,-1]","[1001,1032,1015,1020,1036,1009,1036,1013,1018,1042,1042,-1]","[1012,-1,-1,1007,-1,1018,-1,1011,-1,-1,1029,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
482,47,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,1015,1020,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,1042,1029,1013,1015,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
483,47,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1029,-1,1036,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1007,-1,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1036,-1,1008,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
484,47,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1042,-1,-1,1030,-1,-1,-1,-1]","[-1,-1,-1,-1,1029,1012,1059,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,1027,-1,-1,1006,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
485,47,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1042,-1,1036,-1,1006,-1,-1,-1,-1]","[-1,-1,-1,1032,-1,1015,-1,1032,-1,-1,-1,-1]","[-1,-1,-1,1009,-1,1036,-1,1027,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
486,47,5,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1027,1007,1018,1010,1020,1017,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1019,1019,1017,1015,1010,1009,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
487,47,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,1015,1011,1027,1002,1008,1030,1008,1042,1059,-1,-1]","[-1,1001,-1,1008,-1,1030,-1,1010,-1,1002,-1,-1]","[-1,1036,1010,1008,1015,1013,1007,1029,1017,1007,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
488,47,7,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1042,-1,1036,1008,1017,1017,-1,1018,-1,-1]","[-1,-1,1019,1007,1019,1002,1012,1006,1013,1012,-1,-1]","[-1,-1,-1,1018,-1,1017,1007,-1,1015,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
489,47,8,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1027,1001,1008,-1,1007,1020,1029,-1,-1,-1]","[-1,-1,1059,-1,1036,-1,1032,-1,1012,-1,-1,-1]","[-1,-1,1018,1027,1019,-1,1012,1009,1042,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
490,47,9,"[-1,-1,-1,1010,-1,1020,1015,-1,1042,-1,-1,-1]","[-1,-1,1011,1020,-1,1015,1002,-1,1010,1002,-1,-1]","[-1,-1,1032,1008,-1,1010,1029,-1,1010,1012,-1,-1]","[-1,-1,1015,-1,-1,1019,1029,-1,-1,1029,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
491,47,10,"[-1,-1,1013,1036,1032,1020,1027,1017,1007,-1,-1,-1]","[-1,1007,-1,1017,1007,1032,1006,1015,-1,1006,-1,-1]","[-1,1006,-1,1010,-1,-1,-1,1007,-1,1011,-1,-1]","[-1,1015,-1,1029,1020,1010,1002,1059,-1,1009,-1,-1]","[-1,-1,1011,1029,-1,-1,-1,1008,1020,-1,-1,-1]",
492,47,11,"[-1,1007,1027,1020,1036,1020,1017,1002,1018,1009,1007,-1]","[-1,-1,-1,1001,-1,1015,1015,-1,1013,-1,-1,-1]","[-1,-1,-1,1030,-1,1029,1020,-1,1013,-1,-1,-1]","[-1,1002,1010,1013,1030,1008,1018,1020,1029,1011,1008,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
493,47,12,"[-1,1012,1015,1001,1002,1010,1013,1029,1002,1002,-1,-1]","[-1,-1,-1,1011,-1,1029,-1,1007,-1,-1,-1,-1]","[-1,1020,1042,1020,1020,1002,1029,1013,1015,1007,-1,-1]","[-1,-1,-1,1002,-1,1027,-1,1009,-1,-1,-1,-1]","[-1,1042,1002,1030,1059,1015,1015,1008,1059,1001,-1,-1]",
494,48,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1027,-1,-1,1018,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1042,1019,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
495,48,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1008,1032,-1,1018,1027,-1,-1,-1,-1]","[-1,-1,-1,-1,1006,-1,1017,-1,-1,-1,-1,-1]","[-1,-1,-1,1008,1030,1007,1042,1018,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
496,48,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1012,-1,1010,1036,-1,1042,-1,-1,-1]","[-1,-1,-1,1007,1012,1036,1029,1042,1010,-1,-1,-1]","[-1,-1,-1,1032,-1,1019,1011,-1,1042,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
